index,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cohort,gmt_library
35,prerank,GOBP_KERATINIZATION,0.7316818449937336,1.934408746684084,0.0,0.022640104906624714,0.352,11/16,16.81%,KRT6B;KRT2;CDH3;KRT16;KRT17;KRT10;KRT76;KRT1;KRT78;KRT6A;HRNR,ciao,GO_BP
36,prerank,GOBP_REVERSE_CHOLESTEROL_TRANSPORT,0.7535892165127726,1.9280270842504195,0.0,0.023383441684330448,0.372,9/14,12.49%,LRP1;APOA2;CETP;APOE;APOC3;APOA1;LCAT;CLU;APOM,ciao,GO_BP
37,prerank,GOBP_ACUTE_INFLAMMATORY_RESPONSE,0.551076812636424,1.9258628600965342,0.0,0.02322090759786887,0.383,22/55,14.76%,CRP;SAA2;LBP;F12;REG3A;F8;ORM1;LCN2;SAA1;F2;SERPINA3;SAA4;F7;KLKB1;ORM2;B4GALT1;IGHG1;TFRC;APCS;AHSG;FCER1G;FCGR3A,ciao,GO_BP
39,prerank,GOBP_COMPLEMENT_ACTIVATION,0.5570804555603193,1.924007478087222,0.0,0.022858567457368174,0.387,27/59,17.29%,CFD;CFHR3;C4BPB;SERPING1;CFHR1;IGHG4;C4BPA;C4A;CFHR5;C1S;C1QA;C7;C8B;C9;CFHR2;COLEC11;C4B;KRT1;IGHG1;MASP1;CD55;CLU;C1QB;CD5L;IGHG3;GZMK;C8G,ciao,GO_BP
40,prerank,GOBP_REGULATION_OF_LIPID_LOCALIZATION,0.534946005816189,1.9221177561018175,0.0,0.022523067327274934,0.393,19/66,8.46%,CRP;APOC1;SPP1;LRP1;ANXA2;ERFE;SYK;APOA2;CETP;APOE;GHRL;APOC3;APOA1;PLTP;PLIN3;GAL;LPL;APOB;PON1,ciao,GO_BP
41,prerank,GOBP_PHAGOCYTOSIS_RECOGNITION,0.6373706222895833,1.9079925340414203,0.0,0.02753441329948793,0.466,10/26,8.88%,CRP;COLEC12;LBP;C4BPB;C4BPA;C4A;SPON2;COLEC11;C4B;MASP1,ciao,GO_BP
43,prerank,GOBP_ARTERY_MORPHOGENESIS,0.6661154979870769,1.8854129875471337,0.0015015015015015015,0.03743465621821584,0.571,9/21,7.46%,COMP;LRP1;NRP1;ANGPTL3;APOE;EFEMP2;NOTCH3;VEGFA;APOB,ciao,GO_BP
44,prerank,GOBP_PROTEIN_PROCESSING,0.47303638948415216,1.8823920827237623,0.0,0.037842842017657405,0.582,40/129,14.34%,CFD;COMP;F12;SPON1;F11;PLAT;ANXA2;GSN;F8;SCG5;F2;S100A10;FGB;C1S;F9;F7;CTSG;FGG;F5;KLKB1;F10;PCSK1N;AEBP1;TLL1;ADAMTS2;FGA;CLEC3B;MASP1;CTSZ;HPN;CPE;CTSL;HGFAC;CPN1;ST14;PCSK9;CAPN2;CCBE1;MYH9;CTSS,ciao,GO_BP
46,prerank,GOBP_CHOLESTEROL_EFFLUX,0.6017365890603797,1.8802123772192154,0.0045045045045045045,0.037631142111980126,0.594,12/31,8.46%,APOF;APOC1;LRP1;APOA2;CETP;APOE;TSKU;APOC3;APOA1;PLTP;APOB;PON1,ciao,GO_BP
47,prerank,GOBP_MONOCYTE_DIFFERENTIATION,0.7275222602373457,1.8784812270749482,0.0,0.037432673450407676,0.6,9/14,21.10%,CSF1;VEGFA;IFI16;APCS;FASN;MYH9;INPP5D;CD4;CD74,ciao,GO_BP
48,prerank,GOBP_OPSONIZATION,0.654333962325662,1.87493668583844,0.0,0.03822199528967754,0.619,9/22,8.88%,CRP;LBP;C4BPB;C4BPA;C4A;SPON2;COLEC11;C4B;MASP1,ciao,GO_BP
49,prerank,GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY,0.5550977018552505,1.8726281309581276,0.0,0.03820723586299856,0.628,18/45,15.51%,FBN1;NBL1;SFRP4;ERFE;NOTCH2;CHRDL1;CDH5;FST;TNFAIP6;NUMA1;GREM1;SCUBE3;CHRD;SORL1;ILK;PPM1A;GREM2;SFRP2,ciao,GO_BP
50,prerank,GOBP_ADHERENS_JUNCTION_ORGANIZATION,0.5861650380962681,1.8712106056352327,0.002976190476190476,0.037930461471275496,0.636,9/33,7.30%,CDH2;CDH1;CDH15;CDH11;CDH5;CDH6;CDH3;FER;VEGFA,ciao,GO_BP
51,prerank,GOBP_PROTEIN_LIPID_COMPLEX_ORGANIZATION,0.5698689941082694,1.8709756307305678,0.001443001443001443,0.03697906023740563,0.638,16/39,9.13%,APOC1;PLA2G2A;ANGPTL3;MPO;APOA2;CETP;APOE;BIN1;APOC3;APOA1;PLTP;LPL;APOB;ANGPTL4;PON1;LCAT,ciao,GO_BP
